step_ahead,predicted_energy_kwh
1,-1.1258668
2,-0.7348858
3,-0.38526976
4,-0.08170872
5,0.19371642
6,0.45194697
7,0.66923857
8,0.8690245
9,1.0354426
10,1.1703769
11,1.2783338
12,1.3647568
13,1.4332849
14,1.4876896
15,1.5310847
16,1.5657585
17,1.5937567
18,1.6175327
19,1.6374195
20,1.6556065
21,1.671399
22,1.6848775
23,1.6957418
24,1.7002503
